"25.12.2014","615,00","615,00","615,00","615,00","2,50","5","3.075","3.075"
"13.10.2014","600,00","600,00","600,00","600,00","-2,44","3","1.800","1.800"
"02.11.2017","520,00","520,00","520,00","520,00","30,00","16","8.320","8.320"
"07.9.2017","400,00","400,00","400,00","400,00","-34,96","8","3.200","3.200"
"01.3.2017","615,00","615,00","615,00","615,00","0,00","344","211.560","211.560"
"08.11.2018","700,00","700,00","700,00","700,00","0,00","64","44.800","44.800"
"02.11.2018","700,00","700,00","700,00","700,00","16,67","95","66.500","66.500"
"20.4.2018","600,00","600,00","600,00","600,00","0,00","157","94.200","94.200"
"19.2.2018","600,00","600,00","600,00","600,00","15,38","750","450.000","450.000"
"21.5.2019","700,00","700,00","700,00","700,00","0,00","1.395","976.500","976.500"
"20.5.2019","700,00","700,00","700,00","700,00","0,00","600","420.000","420.000"
"17.5.2019","700,00","700,00","700,00","700,00","0,00","136","95.200","95.200"
"20.3.2019","700,00","700,00","700,00","700,00","0,00","182","127.400","127.400"
"15.7.2021","600,00","600,00","600,00","600,00","-14,29","6","3.600","3.600"
"04.11.2022","600,00","600,00","600,00","600,00","33,33","6","3.600","3.600"
"08.6.2022","450,00","450,00","450,00","450,00","-25,00","48","21.600","21.600"
"05.1.2022","600,00","600,00","600,00","600,00","0,00","14","8.400","8.400"
"31.5.2023","350,00","350,00","350,00","350,00","-22,22","174","60.900","60.900"
"05.1.2023","450,00","450,00","450,00","450,00","-25,00","30","13.500","13.500"
